@relation 'cleaned_summer_products-weka.filters.unsupervised.attribute.Remove-V-R3,5-6,22,25-26'

@attribute units_sold numeric
@attribute rating numeric
@attribute rating_count numeric
@attribute merchant_rating_count numeric
@attribute revenue numeric
@attribute sales_level {Low,High,Medium}

@data
100,4,2,1309,279,Low
100,3.73,82,35679,900,Low
12350,3.68,2015,3771,98800,High
1000,4.24,319,7627,5650,Medium
1000,3.79,200,2707,4860,Medium
1000,3.82,523,3218,6000,Medium
1000,4.01,471,2505,6000,Medium
1000,4.22,621,14974,8000,Medium
5000,3.45,869,36361,55000,High
10000,3.93,2253,16091,90000,High
1000,3.74,536,30225,8000,Medium
12350,3.8,2066,55670,148200,High
1000,3.85,422,139223,14000,Medium
100,4.07,14,360,800,Low
1000,3.09,337,2076,8000,Medium
5000,3.44,921,3566,35000,High
5000,3.59,677,5534,35000,High
1000,4.05,580,20387,16000,Medium
1000,3.78,463,50864,11000,Medium
1000,4.09,520,38985,9000,Medium
5000,3.29,1530,4435,25000,High
1000,4.52,552,6033,16000,Medium
1000,4.23,207,4425,7000,Medium
5000,3.6,985,7889,45000,High
100,4.63,35,10622,176,Low
1000,4.23,650,28101,8000,Medium
5000,3.95,574,55670,23450,High
1000,4.15,158,42514,8000,Medium
100,3.47,19,10600,600,Low
10,2.33,3,32394,60,Low
50,5,0,268,232.5,Low
10,5,0,13,26.7,Low
100,3.5,10,12919,1100,Low
100,4,4,19867,500,Low
1000,4.22,223,667,11000,Medium
12350,3.98,6510,43742,86450,High
1000,3.61,171,4811,12000,Medium
1000,4.33,18,1373,1720,Medium
100,4.23,13,1250,172,Low
10000,4.21,1631,1659,80000,High
1000,3.83,52,28295,5800,Medium
12350,4.12,9207,15538,86450,High
100,3.2,10,269,366,Low
5000,3.76,337,99283,19150,High
10000,4.36,2592,23719,130000,High
5000,3.85,817,50864,30000,High
100,3.87,202,7267,1500,Low
50,4.67,3,3762,85.5,Low
10000,3.87,632,45524,120000,High
1000,4.17,648,37956,9000,Medium
1000,3.73,41,3119,2000,Medium
100,3.4,25,98,500,Low
10000,4.14,644,3972,90000,High
1000,4.27,127,514,16000,Medium
5000,3.23,1212,1686,35000,High
10000,3.93,2526,10501,70000,High
12350,3.69,14568,78307,98800,High
100,3.8,15,88,800,Low
10000,3.66,864,4295,80000,High
100,4.04,47,11401,300,Low
1000,3.12,341,7858,8000,Medium
100,3.73,26,1160,1100,Low
1000,3.36,350,8821,13000,Medium
5000,4.16,1401,13879,55000,High
1000,4.02,636,35358,7000,Medium
10,5,0,291,90,Low
100,4.19,54,8989,800,Low
1000,4.06,121,3300,8000,Medium
5000,4.26,550,5781,30000,High
100,4.09,127,26833,1300,Low
1000,4.14,870,16523,13000,Medium
5000,3.88,883,11883,25000,High
100,4.36,11,277,369,Low
1000,3.23,185,703,3850,Medium
100,3.91,22,7363,1100,Low
100,4.5,14,173,800,Low
10,3.36,11,4485,70,Low
1000,3.73,154,47639,11000,Medium
5000,3.2,249,88193,55000,High
10000,4.13,1165,16013,27000,High
5000,3.99,639,91631,29150,High
100,3.97,37,1452,1200,Low
1000,4.09,197,11505,3670,Medium
100,3.73,104,17002,1200,Low
100,3.4,20,3762,271,Low
100,4.03,63,3852,573,Low
10000,3.84,1958,61895,80000,High
100,2.7,20,1643,1400,Low
100,3.04,23,7858,366,Low
100,3.4,5,112,600,Low
1000,3.58,137,15407,12000,Medium
100,3.55,20,111,1300,Low
1000,3.67,108,12441,9000,Medium
1000,3.62,131,8362,11000,Medium
100,3.55,89,88,1100,Low
10000,3.78,2090,839882,90000,High
1000,3.99,194,2946,7000,Medium
100,4.37,27,343,373,Low
100,3.32,25,613,381,Low
10000,3.78,1941,31559,60000,High
1000,4.09,702,104269,12000,Medium
100,5,2,28,600,Low
10000,4.09,2789,11596,60000,High
12350,3.83,13198,37076,111150,High
50,4.33,12,14358,650,Low
10000,3.75,1717,190918,110000,High
1000,3.11,57,2072,3900,Medium
100,4.33,110,1032,800,Low
12350,4.2,12880,38264,74100,High
5000,3.93,549,80093,30000,High
50,5,0,21485,400,Low
1000,3.69,127,45372,4680,Medium
1000,4,180,139223,8000,Medium
1000,3.61,256,19760,8000,Medium
100,2.9,10,32,700,Low
10000,4.11,2483,34311,70000,High
1000,3.28,179,13625,7000,Medium
1000,3.87,108,550,5650,Medium
10000,3.35,1316,1987,80000,High
1000,4.18,239,5042,12000,Medium
1000,3.1,31,2792,5000,Medium
1000,3.18,55,791,3840,Medium
10000,3.56,1473,11148,80000,High
1000,3.87,344,639,12000,Medium
100,3.96,53,104,579,Low
10,5,0,3694,70,Low
1000,4.05,327,72885,3000,Medium
1000,4.01,156,4508,13000,Medium
100,3.64,11,70,800,Low
100,4.07,46,300,900,Low
1000,4.27,754,18029,9000,Medium
1000,3.83,99,17752,4900,Medium
1000,4.14,196,6275,8000,Medium
50,3.17,6,401,939.25,Low
1000,3.52,295,12441,9000,Medium
100,4.24,55,6121,1100,Low
1000,4.22,206,2495,12000,Medium
10000,3.77,1721,2888,90000,High
100,4,55,2199,800,Low
1000,4.22,124,3950,8000,Medium
5000,3.51,1257,19184,75000,High
5000,3.52,1442,7874,70000,High
12350,2.97,2191,14482,160550,High
100,4,2,102568,600,Low
5000,4.34,728,8500,55000,High
1000,4.16,129,941,7000,Medium
5000,3.89,496,14095,10000,High
10000,4.01,2543,110548,80000,High
1000,3.63,161,1653,8000,Medium
5000,4.14,2737,68339,40000,High
5000,4.03,1058,12348,90000,High
12350,3.7,2682,12974,135850,High
12350,3.87,5719,151914,135850,High
10000,4.03,2150,230951,40000,High
10000,3.71,951,4213,80000,High
5000,3.94,957,4373,40000,High
1000,3.94,251,6457,6000,Medium
12350,3.98,4137,4646,72494.5,High
100,4.58,33,900,265,Low
12350,4,2464,3271,86450,High
12350,3.82,11913,320031,86450,High
5000,3.83,912,38258,70000,High
12350,4.4,3787,295161,231994.75,High
5000,3.7,917,8166,40000,High
5000,4.02,1046,36361,35000,High
10000,3.09,775,54504,80000,High
1000,3.93,54,88193,8000,Medium
1000,3.86,86,484,1700,Medium
100,3.59,64,5244,1200,Low
5000,4.04,846,21485,30000,High
12350,3.91,13488,17816,135850,High
100,4.27,22,521,500,Low
100,3.72,109,267,900,Low
1000,3.87,546,6775,15000,Medium
100,4.11,56,2166,1500,Low
1000,3.93,90,11401,11000,Medium
100,3.79,103,29265,1400,Low
5000,4.01,781,12083,80000,High
12350,3.97,2564,12974,74100,High
1000,3.47,487,3670,13000,Medium
100,3.48,23,55670,386,Low
10000,4.23,1416,37956,37400,High
100,3.23,43,7363,700,Low
100,4.09,11,1770,1200,Low
100,3.65,20,24,700,Low
1000,3.74,638,9034,8000,Medium
1000,4.11,76,54504,6000,Medium
5000,3.8,501,11505,45000,High
100,3.73,89,130598,1600,Low
100,3.4,10,33855,1100,Low
100,3.53,58,689,200,Low
1000,3.13,111,6623,8000,Medium
5000,3.79,797,4809,35000,High
5000,3.7,355,12309,10000,High
1000,4.14,429,905,8000,Medium
1000,3.73,128,105015,11000,Medium
100,3.72,54,4836,500,Low
10000,4.29,2808,33675,60000,High
5000,3.91,192,571,60000,High
100,4.27,15,2988,600,Low
5000,3.64,829,10474,55000,High
1000,4.43,398,816,8000,Medium
100,2.44,9,26951,200,Low
12350,4.14,2927,8205,69901,High
1000,3.61,548,40457,14000,Medium
5000,3.9,613,4335,45000,High
100,4.75,4,10286,1100,Low
100,4.52,106,1269,700,Low
12350,3.76,4367,55499,48412,High
10000,3.31,1554,80713,80000,High
1000,3.16,370,47356,16000,Medium
1000,3.98,234,47356,8000,Medium
100,3.24,96,2282,1100,Low
10000,4.02,2050,21485,110000,High
100,3.82,50,7676,1600,Low
100,3.75,36,16885,1400,Low
100,3.67,6,1284,300,Low
1000,3.93,623,1663,5820,Medium
100,4.67,3,1279,1100,Low
5000,3.87,901,12441,55000,High
1000,3.78,36,45524,1860,Medium
50,5,0,9395,400,Low
10,5,1,60,37.1,Low
100,3.93,107,435,1100,Low
1000,4.13,103,32168,5000,Medium
100,3.87,46,27964,1100,Low
1000,4.31,65,6256,13000,Medium
10000,4.28,3345,20169,80000,High
10000,3.9,1184,9981,130000,High
100,3.44,63,5595,800,Low
50,3.64,14,42919,140.5,Low
10000,4.36,2942,21012,20000,High
100,4.04,24,9470,584,Low
50,4,2,3063,800,Low
5000,3.82,1442,6476,30000,High
100,5,1,54773,266,Low
100,4.15,61,2435,1600,Low
1000,3.98,217,7676,8000,Medium
12350,3.47,2407,21210,71630,High
100,4.09,57,3038,700,Low
1000,3.64,50,3762,12000,Medium
50,5,1,30,144.5,Low
50,4.67,6,47,400,Low
100,3.71,51,5939,900,Low
1000,3.51,245,6246,5670,Medium
1000,3.26,255,3161,6000,Medium
100,3.58,19,26833,1100,Low
10000,4.14,2182,10258,80000,High
8,5,0,53225,56,Low
100,4.23,61,12913,1400,Low
1000,4.04,475,10264,14000,Medium
10000,4.13,2396,6329,80000,High
100,4.15,34,620,200,Low
1000,3.09,65,2867,8000,Medium
100,3.9,58,167,200,Low
1000,3.03,124,6715,9000,Medium
12350,4.14,5232,8776,111150,High
1000,3.51,550,13884,4000,Medium
1000,3.66,129,2078,11000,Medium
100,4.13,24,4572,400,Low
100,3.96,25,32858,490,Low
1000,3.85,183,7076,9000,Medium
100,3.65,26,425,1200,Low
1000,3.73,237,67171,7000,Medium
12350,4.04,2748,8191,148200,High
12350,4.07,6450,12304,72618,High
1000,4.23,483,26833,15000,Medium
12350,4.39,5254,6719,98800,High
10000,4.2,2749,36361,90000,High
50,3,2,62,450,Low
100,3.38,94,4955,800,Low
10,5,0,193,70,Low
100,3.3,102,5841,600,Low
100,3.87,15,14327,470,Low
1000,3.67,258,2685,6000,Medium
100,3.77,47,17752,493,Low
1000,3.94,426,43676,3000,Medium
5000,3.94,787,2700,40000,High
5000,3.87,320,1029,10000,High
10000,4.14,2360,139788,80000,High
10000,3.65,3574,16064,140000,High
5000,4.23,870,2380,40000,High
12350,3.53,18393,19248,70024.5,High
5000,4.22,686,32386,70000,High
1000,3.36,130,6731,7000,Medium
100,5,1,8685,1100,Low
100,3.31,36,4856,600,Low
1000,3.36,230,1837,12000,Medium
100,3.28,18,901,1600,Low
100,3.48,121,18079,1300,Low
5000,3.91,1433,30225,55000,High
1000,3.45,181,9651,3710,Medium
1000,3.8,245,7363,6000,Medium
5000,3.89,1229,14676,30000,High
5000,3.28,701,3990,60000,High
12350,4.01,7575,229199,24700,High
100,5,0,1172,500,Low
5000,3.3,1013,13510,25000,High
12350,4.01,10122,203805,57551,High
100,4,17,65189,800,Low
100,5,0,246312,900,Low
1000,3.95,63,36913,8000,Medium
10,5,0,1442,160,Low
1000,4.1,166,13909,5000,Medium
10000,4,1244,12974,60000,High
10,2.67,6,2038,180,Low
12350,3.8,9330,70773,98800,High
10000,4.19,494,4524,50000,High
100,4.08,12,4150,500,Low
100,4.15,20,131,1878.5,Low
100,3.83,18,116,600,Low
100,3.71,28,33855,578,Low
12350,4.13,2409,88193,61750,High
100,3.86,7,885,573,Low
10000,3.64,1773,32168,38300,High
100,3.69,71,12134,700,Low
10,4.75,4,5123,60,Low
12350,3.4,3443,68022,32727.5,High
100,3.44,16,12309,371,Low
100,3.78,37,1022,1300,Low
1000,3.59,181,4924,12000,Medium
12350,3.91,12041,45964,160550,High
5000,4.09,529,73595,60000,High
5000,4.31,922,9465,28450,High
10000,3.79,1010,10665,60000,High
1000,4.1,413,17922,11000,Medium
100,3.75,20,3053,500,Low
5000,3.56,402,20037,55000,High
100,2.86,7,17752,565,Low
10000,3.55,1004,7314,58500,High
100,4.11,19,14664,800,Low
5000,4.13,616,15436,30000,High
100,3.96,115,5175,1100,Low
5000,4.12,437,4220,70000,High
100,3.56,120,8950,1800,Low
1000,3.32,395,3809,5000,Medium
5000,4.14,1366,20824,40000,High
50,3.72,18,5508,800,Low
5000,3.9,1179,11854,28700,High
10000,3.71,2747,65189,80000,High
12350,3.63,2058,65189,98800,High
100,3.9,51,9395,300,Low
1000,3.32,121,543,2000,Medium
5000,4.03,756,8821,55000,High
1000,4.2,300,82219,9000,Medium
1000,2.98,102,10320,5000,Medium
1000,3.98,330,1428,6000,Medium
1000,4.14,582,6329,13000,Medium
1000,3.97,212,543,11000,Medium
1000,4.24,192,794,9000,Medium
100,3.6,30,105015,1200,Low
1000,3.67,117,706,5750,Medium
1000,4.15,674,8191,11000,Medium
100,4.39,23,7197,1100,Low
100,3.83,18,75,700,Low
100,3.89,19,163,290,Low
10000,3.95,903,24564,80000,High
100,4.2,10,88,800,Low
1000,4.06,223,18877,5860,Medium
5000,3.79,1095,24306,65000,High
100,4.04,139,12745,800,Low
1000,4.18,197,17856,14000,Medium
10000,3.98,2159,213709,70000,High
10000,3.86,2102,14284,110000,High
1000,3.92,317,8043,9000,Medium
100,4.39,23,107,800,Low
100,3.65,31,5311,1100,Low
50,4.4,10,34,750,Low
100,3.44,27,572,1600,Low
5000,2.94,667,8740,25000,High
100,4.11,47,9078,1300,Low
100,3.2,60,64,1878.5,Low
12350,3.31,3344,25356,111150,High
1000,4.26,429,1178,14000,Medium
6,5,0,65189,36,Low
100,2.75,4,10474,700,Low
5000,3.91,487,5042,55000,High
12350,3.63,7242,839882,70024.5,High
100,4.31,13,25222,600,Low
100,4.11,75,7740,1200,Low
100,3.61,28,14291,1100,Low
50,4.17,18,71919,600,Low
1000,3.58,483,6364,11000,Medium
1000,3.76,843,25752,8000,Medium
100,3.7,10,35262,500,Low
100,4.5,2,2707,400,Low
10000,3.28,2521,15502,110000,High
50,4.24,17,2647,600,Low
5000,3.26,692,4830,55000,High
10000,3.85,1193,17816,70000,High
100,3.87,91,11557,800,Low
100,4.46,26,1373,188,Low
1000,4.32,269,4811,11000,Medium
100,3.55,33,9940,900,Low
10000,3.66,585,35358,38800,High
10,4.8,5,42,20,Low
1000,4.25,215,15076,12000,Medium
100,3.75,20,247,166,Low
1000,3.27,601,16757,7000,Medium
1000,4.03,248,1722,9000,Medium
1000,3.69,294,821,8000,Medium
1000,4.38,425,27175,14000,Medium
1000,4.39,574,5042,8000,Medium
10000,3.98,397,29615,110000,High
100,4.33,61,487,1878.5,Low
10000,3.61,2187,70773,80000,High
1000,3.69,113,1403,11000,Medium
1000,4.1,534,15540,12000,Medium
100,3.37,19,36033,800,Low
100,4.05,114,231,800,Low
100,4.08,13,26018,500,Low
100,4.07,30,43876,500,Low
100,3.74,54,4080,1300,Low
5000,3.91,239,591,10000,High
100,4.01,79,131,800,Low
100,4.55,76,96,586,Low
5000,3.81,192,15348,35000,High
1000,3.88,161,14780,8000,Medium
1000,3.7,647,17471,12000,Medium
100,3.1,30,71,200,Low
1000,3.63,118,626,11000,Medium
10000,4.14,2604,13399,80000,High
100,3.93,46,19632,1600,Low
5000,4.41,1153,55499,45000,High
5000,4.11,377,602,55000,High
5000,3.71,346,3053,40000,High
5000,4.26,1057,7631,40000,High
50,4,7,21,550,Low
1000,4.18,479,4778,17000,Medium
1000,3.4,78,1281,2800,Medium
50,3.43,7,249,400,Low
100,4.15,48,150,589,Low
1000,3.4,94,5281,8000,Medium
100,3.17,6,30,100,Low
10000,3.87,770,39381,160000,High
1000,4.21,33,15221,1660,Medium
100,4.33,12,576,271,Low
5000,4.28,1612,228676,80000,High
1000,3.85,279,11078,5000,Medium
5000,4.04,1571,47476,55000,High
1000,3.68,895,25260,6000,Medium
1000,4,16,130598,4880,Medium
12350,4.27,2859,18910,197600,High
1000,3.43,70,104,11000,Medium
1000,3.64,44,13979,5000,Medium
10000,4.06,1496,2359,60000,High
1000,3.15,170,2510,6000,Medium
10000,4.26,2107,20387,140000,High
100,4.18,34,1928,900,Low
5000,4.1,478,14095,25000,High
12350,4.22,2019,8501,86450,High
100,4.4,15,29615,900,Low
1000,3.5,497,3533,15000,Medium
1000,3.75,68,331,7000,Medium
1000,3.97,289,7034,13000,Medium
100,3.89,27,88,700,Low
5000,4.19,999,225438,20000,High
1000,3.27,130,11900,14000,Medium
1000,4.12,155,28295,8000,Medium
5000,4.3,825,12666,20000,High
10000,4.16,1780,19436,110000,High
100,3.67,45,1972,585,Low
1000,3.74,76,161,5690,Medium
12350,3.9,4657,127966,70518.5,High
1000,4.3,420,8404,9000,Medium
5000,3.6,518,13127,60000,High
12350,4.19,7773,10269,61750,High
100,4.5,8,5988,900,Low
5000,3.75,1017,2359,45000,High
1000,3.74,54,36913,7000,Medium
100,3.36,11,8989,700,Low
1000,3.88,854,11354,15000,Medium
10,4.5,2,173992,80,Low
10000,4.25,1524,90105,160000,High
5000,4.47,1038,5781,40000,High
5000,4.08,1052,16013,45000,High
5000,4.08,1336,12933,45000,High
12350,3.93,4215,4570,45077.5,High
1000,4.23,474,33855,11000,Medium
1000,3.41,64,942,8000,Medium
1000,4.22,117,23832,8000,Medium
5000,3.6,983,4921,40000,High
100,1,1,3,1200,Low
12350,3.92,3080,11854,98800,High
1000,4.45,47,15812,6000,Medium
100,5,1,7218,269,Low
100,3.59,32,185,167,Low
100,3,4,5264,600,Low
5000,3.66,581,12574,40000,High
5000,4.17,788,4191,15000,High
100,3.63,8,1086,300,Low
50,3.75,4,47,50,Low
5000,3.76,669,32168,25000,High
100,2.77,26,99,1100,Low
1000,3.63,116,37375,2720,Medium
1000,3.48,101,1012,3810,Medium
100,4.14,37,9703,1100,Low
100,3.99,160,8776,600,Low
10000,4.3,1858,19879,80000,High
100,3.78,45,58154,800,Low
5000,3.73,1072,24095,75000,High
100,4,29,24564,1100,Low
100,3.5,8,126370,281,Low
5000,4.24,1650,13308,30000,High
1000,4.21,217,9857,5660,Medium
10000,3.75,1238,5993,60000,High
12350,3.6,18463,51369,98800,High
10000,4.19,1378,42919,70000,High
100,5,0,22711,1400,Low
100,3.68,38,484,184,Low
1000,4.05,152,466,8000,Medium
10000,4.03,3024,4295,90000,High
100,4.46,52,2199,700,Low
100,4.67,6,2805,500,Low
1000,4.29,178,32318,3720,Medium
5000,3.74,1444,139223,19050,High
1000,3.36,83,10600,4930,Medium
5000,3.34,687,2363,80000,High
1000,4.07,201,5819,9000,Medium
100,4.6,10,63,800,Low
10000,3.82,1715,4907,80000,High
100,3.67,6,15348,500,Low
1000,3.73,445,4622,14000,Medium
1,5,0,1134,14,Low
10000,3.96,1559,5316,80000,High
5000,3.47,593,1821,45000,High
100,3.67,9,16726,1600,Low
10000,3.88,2427,32168,70000,High
12350,4.48,5882,100789,45201,High
1000,3.61,613,37956,6000,Medium
10000,3.84,903,45964,48100,High
1000,3.52,118,612,8000,Medium
12350,4.17,3090,21892,98800,High
5000,3.94,1863,31916,70000,High
10000,3.92,2151,96838,46700,High
1000,4.2,15,50864,1800,Medium
5000,3.5,425,6357,29500,High
1000,4.64,377,2904,5000,Medium
12350,4.15,5351,30892,148200,High
12350,4.07,7753,43676,61750,High
12350,4.17,2477,151914,148200,High
10000,3.96,661,14095,60000,High
5000,4.11,283,80093,45000,High
12350,4.34,3845,18910,185250,High
5000,3.99,219,12309,40000,High
1000,3.84,153,2992,8000,Medium
1000,3.5,558,8352,8000,Medium
1000,3.32,74,193,2690,Medium
5000,3.71,615,1998,30000,High
100,3.19,52,4943,583,Low
1000,4.34,101,32715,11000,Medium
50,4.25,12,399,939.25,Low
10,5,0,6357,40,Low
10000,3.74,3079,78616,160000,High
12350,4.14,5759,320031,135850,High
12350,3.61,5756,73701,98800,High
10000,3.96,666,9325,110000,High
1000,3.72,489,40245,9000,Medium
1000,3.94,841,5264,12000,Medium
100,3.7,46,263,700,Low
1000,3.97,200,5175,8000,Medium
5000,4.28,1120,24564,45000,High
1000,3.4,62,738,8000,Medium
10000,4.11,2404,90105,120000,High
1000,3.99,326,1370,13000,Medium
5000,3.2,1166,13884,15000,High
5000,3.2,1185,32168,25000,High
5000,3.68,781,779,60000,High
50,4,8,2283,400,Low
1000,3.98,129,794,7000,Medium
12350,3.55,7088,51369,111150,High
10000,4.12,2901,14502,130000,High
5000,3.5,774,11680,35000,High
1000,3.68,62,265,3870,Medium
100,3.51,74,151914,1500,Low
1000,3.38,414,12134,5910,Medium
100,3.79,57,4080,300,Low
12350,4.25,3127,16803,98800,High
10000,4.08,1367,5316,60000,High
100,3.71,59,210,500,Low
100,4.07,14,7023,700,Low
