@relation 'cleaned_summer_products-weka.filters.unsupervised.attribute.Remove-V-R3,5-6,22,25-26'

@attribute units_sold numeric
@attribute rating numeric
@attribute rating_count numeric
@attribute merchant_rating_count numeric
@attribute revenue numeric
@attribute sales_level {Low,High,Medium}

@data
12350,4.09,4345,49327,111150,High
5000,4.06,998,92654,28250,High
100,3.4,15,268,300,Low
50,3.8,5,129,400,Low
1000,3.99,71,3161,5740,Medium
10,5,0,129,50,Low
12350,3.61,5641,70773,98800,High
10000,4.31,2072,11333,36700,High
5000,3.69,894,3209,40000,High
1000,3.64,357,39381,11000,Medium
50,4,6,19281,400,Low
1000,3.38,542,9341,18785,Medium
10000,3.7,2441,39381,80000,High
1000,3.01,205,5048,18785,Medium
1000,3.67,215,2377,11000,Medium
1000,4.17,505,2996,6000,Medium
5000,4.16,1378,25222,35000,High
10000,3.84,1978,7069,70000,High
100,2.81,21,31,800,Low
100,3.61,72,7385,1400,Low
100,3.67,27,4705,600,Low
5000,3.45,1045,1490,55000,High
5000,3.18,573,9827,30000,High
5000,4.02,556,35262,35000,High
10000,4.29,1741,28159,60000,High
10000,3.71,1792,1702,70000,High
1000,3.7,162,3373,9000,Medium
50,5,2,127,400,Low
100,3.61,18,435,1100,Low
12350,3.76,11062,108048,98800,High
10000,4.17,3229,3309,180000,High
10,5,0,22621,110,Low
50,2,1,57,241.5,Low
100,4.57,7,610,800,Low
1000,3.16,602,25631,5850,Medium
100,3.96,25,794,1100,Low
100,4.44,18,1385,900,Low
1000,3.91,646,29044,15000,Medium
1000,4.06,197,2610,5000,Medium
100,3.52,23,139223,800,Low
5000,4.26,798,2199,28450,High
5000,4.1,939,9926,30000,High
100,3.77,48,104269,1100,Low
100,4,6,1338,172,Low
10000,3.84,1426,3549,57800,High
5000,4.23,1109,5781,55000,High
1000,3.67,646,870,12000,Medium
1000,3.5,409,8433,8000,Medium
100,3.46,39,540,189,Low
1000,4.21,103,20478,12000,Medium
10000,3.6,569,7314,60000,High
5000,4.28,1754,15538,20000,High
100,2.75,8,41623,700,Low
100,3.9,21,6126,800,Low
100,4.5,6,10600,500,Low
10000,3.45,1312,32168,58400,High
10000,3.99,2753,33148,80000,High
5000,4.09,1561,9116,93925,High
100,3.54,13,885,1100,Low
50,3.33,3,7676,192.5,Low
1000,4.01,135,6632,9000,Medium
7,5,0,108048,56,Low
1000,4,221,73119,11000,Medium
12350,3.85,1124,15076,74100,High
12350,3.98,13789,366898,61750,High
100,4.05,82,514,1600,Low
100,3.91,11,38,1300,Low
100,3.14,28,1472,900,Low
100,3.64,11,855,700,Low
